scale,spec_country,steel_kind,pt_thick,pt_width,pt_length,hsb,fur_no,fur_input_row,fur_heat_temp,fur_heat_time,fur_soak_temp,fur_soak_time,fur_total_time,rolling_method,rolling_temp,descaling_count,work_group,bf_temp
불량,일본,C,40,2500,25100,적용,2호기,2열,1167,77,1165,58,222,CR(제어압연),1066.0,6,1조,99.0
불량,일본,C,55,2500,15300,적용,1호기,1열,1155,77,1155,55,229,CR(제어압연),1056.0,6,1조,99.0
불량,한국,C,35,2000,29900,적용,2호기,1열,1162,80,1162,47,207,CR(제어압연),1054.0,8,1조,108.0
불량,일본,C,80,2500,10500,적용,1호기,2열,1157,68,1159,67,221,CR(제어압연),1068.0,6,1조,91.0
불량,일본,C,40,2200,33400,적용,3호기,1열,1155,73,1161,55,213,CR(제어압연),1054.0,6,1조,107.0
불량,한국,C,35,2000,29900,적용,2호기,2열,1159,83,1160,52,232,CR(제어압연),1053.0,8,1조,107.0
양품,한국,C,32,2200,37400,적용,3호기,2열,1172,78,1167,52,227,CR(제어압연),902.0,8,1조,265.0
양품,한국,C,32,2200,37400,적용,1호기,1열,1163,77,1160,64,202,CR(제어압연),907.0,8,1조,253.0
불량,미국,C,21,2200,41700,적용,3호기,1열,1174,76,1167,49,223,CR(제어압연),1037.0,8,1조,130.0
불량,한국,C,21,2200,41700,적용,3호기,1열,1174,76,1167,49,229,CR(제어압연),1037.0,8,1조,130.0
불량,한국,C,32,2200,37400,미적용,1호기,2열,1166,75,1166,72,251,CR(제어압연),901.0,8,1조,265.0
양품,일본,C,20,2600,44600,적용,3호기,2열,1173,78,1167,55,201,CR(제어압연),976.0,8,1조,191.0
불량,한국,C,22,2300,36500,적용,2호기,1열,1162,74,1163,65,221,CR(제어압연),1005.0,8,1조,158.0
불량,영국,C,22,2300,36500,적용,2호기,1열,1162,74,1163,65,206,CR(제어압연),1005.0,7,1조,158.0
불량,미국,C,22,2200,36500,적용,2호기,2열,1164,71,1165,73,236,CR(제어압연),1006.0,8,1조,159.0
불량,한국,C,22,2200,36500,적용,2호기,2열,1164,71,1165,73,222,CR(제어압연),1006.0,8,1조,159.0
불량,일본,C,20,2600,45600,적용,1호기,1열,1165,78,1163,71,242,CR(제어압연),1004.0,8,1조,159.0
불량,일본,C,20,2200,41700,적용,3호기,1열,1170,66,1167,60,207,CR(제어압연),1018.0,8,1조,149.0
